OBJECTID,PRE_DIR_TX,PRE_TYPE_T,NAME_TX,SUF_TYPE_T,SUF_DIR_TX,SUFFIX_TX,FULL_NAME,NEW_NM_ID
130304,,,FORBES,STREET,,,FORBES ST,772269
130305,,,FORD,STREET,,,FORD ST,775216
130306,,,FOREST,STREET,,,FOREST ST,706294
130307,,,FOREST HILL,DRIVE,,,FOREST HILL DR,630304
130308,,,FORESTDALE,ROAD,,,FORESTDALE RD,769263
130309,,,FORKEY,AVENUE,,,FORKEY AVE,607169
130310,,,FORSBERG,STREET,,,FORSBERG ST,755074
130311,,,FORTIER,STREET,,,FORTIER ST,699094
130312,,,FOSTER,STREET,,,FOSTER ST,750215
130313,,,FOUNTAIN,STREET,,,FOUNTAIN ST,760244
130314,,,FOURTH,STREET,,,FOURTH ST,609183
130315,,,JEROME,STREET,,,JEROME ST,756171
130316,,,FOX,STREET,,,FOX ST,762178
130317,,,FOX HOLLOW,ROAD,,,FOX HOLLOW RD,655384
130318,,,FOXBORO,STREET,,,FOXBORO ST,804051
130319,,,FOXMEADOW,DRIVE,,,FOXMEADOW DR,526275
130320,,,FRANCIS,STREET,,,FRANCIS ST,765380
130321,,,FRANCONIA,STREET,,,FRANCONIA ST,672234
130322,,,FRANK,STREET,,,FRANK ST,844244
130323,,,FRANKLIN,STREET,,,FRANKLIN ST,794212
130324,,,FRATERNAL,AVENUE,,,FRATERNAL AVE,758351
130325,,,FREDERICK,STREET,,,FREDERICK ST,762263
130326,,,FREDERICKSON,AVENUE,,,FREDERICKSON AVE,684409
130327,,,FREEDOM,WAY,,,FREEDOM WAY,824371
130328,,,FREELAND,STREET,,,FREELAND ST,682148
130329,,,FREELAND,TERRACE,,,FREELAND TER,680154
130330,,,FREEMAN,STREET,,,FREEMAN ST,848151
130331,,,FREMONT,STREET,,,FREMONT ST,674133
130332,,,FRIEDEL,STREET,,,FRIEDEL ST,668181
130333,,,FRONT,STREET,,,FRONT ST,747209
130334,,,FRONTAGE,ROAD,,,FRONTAGE RD,735402
130335,,,FRONTENAC,ROAD,,,FRONTENAC RD,656271
130336,,,FROTHINGHAM,ROAD,,,FROTHINGHAM RD,778303
130337,,,FRUIT,STREET,,,FRUIT ST,721226
130338,,,GAGE,STREET,,,GAGE ST,780224
